municip_code_ibge,year,lon,lat,population,urban10,water_network,total_collected,level18_num,dengue_year,DIR,outbreak
3304110,2016,-44.3259635122631,-22.4410686682379,18552,99.43,95.34,98.89,3,27,145.536869340233,0
3304110,2017,-44.3259635122631,-22.4410686682379,18829,99.43,95.34,98.89,3,4,21.243826013065,0
3304110,2018,-44.3259635122631,-22.4410686682379,19381,99.43,95.34,98.89,3,4,20.6387699293122,0
3304110,2019,-44.3259635122631,-22.4410686682379,19683,99.43,95.34,98.89,3,42,213.382106386222,0
3304110,2020,-44.3259635122631,-22.4410686682379,19974,99.43,95.34,98.89,3,23,115.149694602984,0
3304128,2001,-44.2368917050006,-22.3550094539127,10936,93.99,81.89,94.21,3,0,0,0
3304128,2002,-44.2368917050006,-22.3550094539127,11143,93.99,81.89,94.21,3,9,80.7681952795477,0
3304128,2003,-44.2368917050006,-22.3550094539127,11335,93.99,81.89,94.21,3,0,0,0
3304128,2004,-44.2368917050006,-22.3550094539127,11738,93.99,81.89,94.21,3,0,0,0
3304128,2005,-44.2368917050006,-22.3550094539127,11960,93.99,81.89,94.21,3,0,0,0
3304128,2006,-44.2368917050006,-22.3550094539127,12182,93.99,81.89,94.21,3,309,2536.52930553275,1
3304128,2007,-44.2368917050006,-22.3550094539127,12031,93.99,81.89,94.21,3,23,191.172803590724,0
3304128,2008,-44.2368917050006,-22.3550094539127,12923,93.99,81.89,94.21,3,1,7.73814129846011,0
3304128,2009,-44.2368917050006,-22.3550094539127,13137,93.99,81.89,94.21,3,1,7.61208799573723,0
3304128,2010,-44.2368917050006,-22.3550094539127,12831,93.99,81.89,94.21,3,10,77.9362481490141,0
3304128,2011,-44.2368917050006,-22.3550094539127,12952,93.99,81.89,94.21,3,10,77.2081531809759,0
3304128,2012,-44.2368917050006,-22.3550094539127,13105,93.99,81.89,94.21,3,0,0,0
3304128,2013,-44.2368917050006,-22.3550094539127,13283,93.99,81.89,94.21,3,17,127.983136339682,0
3304128,2014,-44.2368917050006,-22.3550094539127,13415,93.99,81.89,94.21,3,4,29.8173686172195,0
3304128,2015,-44.2368917050006,-22.3550094539127,13543,93.99,81.89,94.21,3,725,5353.31905781585,1
3304128,2016,-44.2368917050006,-22.3550094539127,13666,93.99,81.89,94.21,3,20,146.348602370847,0
3304128,2017,-44.2368917050006,-22.3550094539127,13785,93.99,81.89,94.21,3,3,21.7627856365615,0
3304128,2018,-44.2368917050006,-22.3550094539127,14165,93.99,81.89,94.21,3,4,28.2386163078009,0
3304128,2019,-44.2368917050006,-22.3550094539127,14302,93.99,81.89,94.21,3,65,454.481890644665,1
3304128,2020,-44.2368917050006,-22.3550094539127,14435,93.99,81.89,94.21,3,8,55.420852095601,0
3304144,2001,-43.5849744709366,-22.7255840417169,124495,100,82.12,93.79,1,655,526.125547210731,1
3304144,2002,-43.5849744709366,-22.7255840417169,126868,100,82.12,93.79,1,342,269.571523157928,0
3304144,2003,-43.5849744709366,-22.7255840417169,129131,100,82.12,93.79,1,8,6.19525907799057,0
3304144,2004,-43.5849744709366,-22.7255840417169,133881,100,82.12,93.79,1,4,2.98772790761945,0
3304144,2005,-43.5849744709366,-22.7255840417169,136509,100,82.12,93.79,1,0,0,0
3304144,2006,-43.5849744709366,-22.7255840417169,139118,100,82.12,93.79,1,22,15.8139133685073,0
3304144,2007,-43.5849744709366,-22.7255840417169,130275,100,82.12,93.79,1,53,40.683170216849,0
3304144,2008,-43.5849744709366,-22.7255840417169,137870,100,82.12,93.79,1,403,292.304344672518,0
3304144,2009,-43.5849744709366,-22.7255840417169,139378,100,82.12,93.79,1,16,11.4795735338432,0
3304144,2010,-43.5849744709366,-22.7255840417169,137938,100,82.12,93.79,1,21,15.2242311763256,0
3304144,2011,-43.5849744709366,-22.7255840417169,139188,100,82.12,93.79,1,296,212.66201109291,0
3304144,2012,-43.5849744709366,-22.7255840417169,140374,100,82.12,93.79,1,221,157.436562326357,0
3304144,2013,-43.5849744709366,-22.7255840417169,141753,100,82.12,93.79,1,145,102.290604078926,0
3304144,2014,-43.5849744709366,-22.7255840417169,142709,100,82.12,93.79,1,8,5.60581322831777,0
3304144,2015,-43.5849744709366,-22.7255840417169,143632,100,82.12,93.79,1,32,22.2791578478334,0
3304144,2016,-43.5849744709366,-22.7255840417169,144525,100,82.12,93.79,1,110,76.1113994118665,0
3304144,2017,-43.5849744709366,-22.7255840417169,145386,100,82.12,93.79,1,6,4.12694482274772,0
3304144,2018,-43.5849744709366,-22.7255840417169,149265,100,82.12,93.79,1,16,10.7191907011021,0
3304144,2019,-43.5849744709366,-22.7255840417169,150319,100,82.12,93.79,1,73,48.5633885270658,0
3304144,2020,-43.5849744709366,-22.7255840417169,151335,100,82.12,93.79,1,1,0.660785674166584,0
3304151,2001,-41.4403995927281,-22.1044024036807,14061,64.2,71.23,95.25,5,14,99.5661759476566,0
3304151,2002,-41.4403995927281,-22.1044024036807,14349,64.2,71.23,95.25,5,64,446.024113178619,1
3304151,2003,-41.4403995927281,-22.1044024036807,14662,64.2,71.23,95.25,5,55,375.119356158778,1
3304151,2004,-41.4403995927281,-22.1044024036807,15319,64.2,71.23,95.25,5,4,26.1113649716039,0
3304151,2005,-41.4403995927281,-22.1044024036807,15683,64.2,71.23,95.25,5,3,19.1289931773258,0
3304151,2006,-41.4403995927281,-22.1044024036807,16044,64.2,71.23,95.25,5,32,199.451508352032,0
3304151,2007,-41.4403995927281,-22.1044024036807,17376,64.2,71.23,95.25,5,38,218.692449355433,0
3304151,2008,-41.4403995927281,-22.1044024036807,19315,64.2,71.23,95.25,5,61,315.816722754336,1
3304151,2009,-41.4403995927281,-22.1044024036807,19878,64.2,71.23,95.25,5,3,15.0920615756112,0
3304151,2010,-41.4403995927281,-22.1044024036807,20244,64.2,71.23,95.25,5,52,256.866231969966,0
3304151,2011,-41.4403995927281,-22.1044024036807,20747,64.2,71.23,95.25,5,478,2303.94755868318,1
3304151,2012,-41.4403995927281,-22.1044024036807,21234,64.2,71.23,95.25,5,6,28.2565696524442,0
3304151,2013,-41.4403995927281,-22.1044024036807,21806,64.2,71.23,95.25,5,123,564.064936256076,1
3304151,2014,-41.4403995927281,-22.1044024036807,22261,64.2,71.23,95.25,5,2,8.98432235748619,0
3304151,2015,-41.4403995927281,-22.1044024036807,22700,64.2,71.23,95.25,5,72,317.180616740088,1
3304151,2016,-41.4403995927281,-22.1044024036807,23125,64.2,71.23,95.25,5,12,51.8918918918919,0
3304151,2017,-41.4403995927281,-22.1044024036807,23535,64.2,71.23,95.25,5,2,8.49798172933928,0
3304151,2018,-41.4403995927281,-22.1044024036807,24246,64.2,71.23,95.25,5,4,16.4975666089252,0
3304151,2019,-41.4403995927281,-22.1044024036807,24700,64.2,71.23,95.25,5,9,36.4372469635628,0
3304151,2020,-41.4403995927281,-22.1044024036807,25126,64.2,71.23,95.25,5,0,0,0
3304201,2001,-44.4848995014388,-22.4406838674528,106995,93.79,96.29,98.68,3,54,50.4696481143979,0
3304201,2002,-44.4848995014388,-22.4406838674528,108870,93.79,96.29,98.68,3,2562,2353.26536235878,1
3304201,2003,-44.4848995014388,-22.4406838674528,110876,93.79,96.29,98.68,3,51,45.9973303510228,0
3304201,2004,-44.4848995014388,-22.4406838674528,115086,93.79,96.29,98.68,3,1,0.868915419773039,0
3304201,2005,-44.4848995014388,-22.4406838674528,117416,93.79,96.29,98.68,3,0,0,0
3304201,2006,-44.4848995014388,-22.4406838674528,119729,93.79,96.29,98.68,3,24,20.0452688989301,0
3304201,2007,-44.4848995014388,-22.4406838674528,118547,93.79,96.29,98.68,3,547,461.420364918556,1
3304201,2008,-44.4848995014388,-22.4406838674528,127763,93.79,96.29,98.68,3,291,227.765472006763,0
3304201,2009,-44.4848995014388,-22.4406838674528,130035,93.79,96.29,98.68,3,5,3.84511862190949,0
3304201,2010,-44.4848995014388,-22.4406838674528,119801,93.79,96.29,98.68,3,25,20.8679393327268,0
3304201,2011,-44.4848995014388,-22.4406838674528,120938,93.79,96.29,98.68,3,1009,834.311796126941,1
3304201,2012,-44.4848995014388,-22.4406838674528,122068,93.79,96.29,98.68,3,167,136.808991709539,0
3304201,2013,-44.4848995014388,-22.4406838674528,123385,93.79,96.29,98.68,3,551,446.569680269077,1
3304201,2014,-44.4848995014388,-22.4406838674528,124316,93.79,96.29,98.68,3,398,320.151871038322,1
3304201,2015,-44.4848995014388,-22.4406838674528,125214,93.79,96.29,98.68,3,8636,6896.99234909834,1
3304201,2016,-44.4848995014388,-22.4406838674528,126084,93.79,96.29,98.68,3,662,525.046794200692,1
3304201,2017,-44.4848995014388,-22.4406838674528,126923,93.79,96.29,98.68,3,22,17.3333438383902,0
3304201,2018,-44.4848995014388,-22.4406838674528,130334,93.79,96.29,98.68,3,7,5.37081651756257,0
3304201,2019,-44.4848995014388,-22.4406838674528,131341,93.79,96.29,98.68,3,347,264.197775256774,0
3304201,2020,-44.4848995014388,-22.4406838674528,132312,93.79,96.29,98.68,3,52,39.3010460124554,0
3304300,2001,-42.5884985428809,-22.7346308155891,50144,74.71,53.97,91.95,3,170,339.023611997447,1
3304300,2002,-42.5884985428809,-22.7346308155891,50644,74.71,53.97,91.95,3,921,1818.57673169576,1
3304300,2003,-42.5884985428809,-22.7346308155891,51087,74.71,53.97,91.95,3,8,15.659561140799,0
3304300,2004,-42.5884985428809,-22.7346308155891,52015,74.71,53.97,91.95,3,2,3.84504469864462,0
3304300,2005,-42.5884985428809,-22.7346308155891,52529,74.71,53.97,91.95,3,5,9.51855165717984,0
3304300,2006,-42.5884985428809,-22.7346308155891,53039,74.71,53.97,91.95,3,7,13.197835554969,0
3304300,2007,-42.5884985428809,-22.7346308155891,51942,74.71,53.97,91.95,3,190,365.792614839629,1
3304300,2008,-42.5884985428809,-22.7346308155891,54596,74.71,53.97,91.95,3,843,1544.06916257601,1
3304300,2009,-42.5884985428809,-22.7346308155891,55051,74.71,53.97,91.95,3,4,7.26598971862455,0
3304300,2010,-42.5884985428809,-22.7346308155891,55586,74.71,53.97,91.95,3,108,194.293527147123,0
3304300,2011,-42.5884985428809,-22.7346308155891,56001,74.71,53.97,91.95,3,192,342.851020517491,1
3304300,2012,-42.5884985428809,-22.7346308155891,56436,74.71,53.97,91.95,3,241,427.03239067262,1
3304300,2013,-42.5884985428809,-22.7346308155891,56942,74.71,53.97,91.95,3,2338,4105.93235221805,1
3304300,2014,-42.5884985428809,-22.7346308155891,57284,74.71,53.97,91.95,3,5,8.72844075134418,0
3304300,2015,-42.5884985428809,-22.7346308155891,57615,74.71,53.97,91.95,3,11,19.0922502820446,0
3304300,2016,-42.5884985428809,-22.7346308155891,57963,74.71,53.97,91.95,3,43,74.1852561116574,0
3304300,2017,-42.5884985428809,-22.7346308155891,58272,74.71,53.97,91.95,3,8,13.728720483251,0
3304300,2018,-42.5884985428809,-22.7346308155891,59814,74.71,53.97,91.95,3,23,38.4525361955395,0
3304300,2019,-42.5884985428809,-22.7346308155891,60201,74.71,53.97,91.95,3,19,31.5609375259547,0
3304300,2020,-42.5884985428809,-22.7346308155891,60573,74.71,53.97,91.95,3,3,4.95270169877668,0
3304409,2001,-44.0790558157139,-22.782154884632,16547,79.17,65.37,88.74,5,2,12.0867831026772,0
3304409,2002,-44.0790558157139,-22.782154884632,16767,79.17,65.37,88.74,5,36,214.707461084273,0
3304409,2003,-44.0790558157139,-22.782154884632,17018,79.17,65.37,88.74,5,1,5.87613115524739,0
